variant,N,f0_Hz,fs_Hz,num_levels,Delta,theory_eps_max,empirical_eps_max
1,15,200.0,500.0,8,0.25,0.125,0.125
2,20,250.0,1250.0,8,0.25,0.125,0.125
3,30,400.0,2000.0,8,0.25,0.125,0.125
4,12,200.0,600.0,8,0.25,0.125,0.125
5,15,600.0,1500.0,8,0.25,0.125,0.125
6,30,750.0,3750.0,8,0.25,0.125,0.125
7,25,1200.0,6000.0,8,0.25,0.125,0.125
8,18,600.0,1800.0,8,0.25,0.125,0.125
9,10,400.0,1000.0,8,0.25,0.125,0.125
10,25,500.0,2500.0,8,0.25,0.125,0.125
11,20,800.0,4000.0,8,0.25,0.125,0.125
12,15,400.0,1200.0,8,0.25,0.125,0.125
